folder,pdf_name,pdf_path,iccd_code,csv_index,id_scheda_originale,png_name,png_path,status
sicilia/1900388007_CT_S.Maria in Licodia_edificio con annessi_casa,download (13).pdf,0.original_foto_schede/sicilia/1900388007_CT_S.Maria in Licodia_edificio con annessi_casa/download (13).pdf,1900388007,8081,e30af73a-b1b1-4008-83ce-83099f0bd8b0,e30af73a-b1b1-4008-83ce-83099f0bd8b0.png,1.output_png_schede/e30af73a-b1b1-4008-83ce-83099f0bd8b0.png,exported
sicilia/1900425108_RG_Modica_complesso_masseria,download (13).pdf,0.original_foto_schede/sicilia/1900425108_RG_Modica_complesso_masseria/download (13).pdf,1900425108,31503,f69efa2e-f3a5-4035-8ebb-6a23d358c42b,f69efa2e-f3a5-4035-8ebb-6a23d358c42b.png,1.output_png_schede/f69efa2e-f3a5-4035-8ebb-6a23d358c42b.png,exported
sicilia/1900425344_RG_Modica_complesso_masseria,download (13).pdf,0.original_foto_schede/sicilia/1900425344_RG_Modica_complesso_masseria/download (13).pdf,1900425344,30348,8e811e01-777c-4ba0-9920-94ebf8aa22ca,8e811e01-777c-4ba0-9920-94ebf8aa22ca.png,1.output_png_schede/8e811e01-777c-4ba0-9920-94ebf8aa22ca.png,exported
sicilia/1900425394_AG_Sciacca_complesso_baglio,download (13).pdf,0.original_foto_schede/sicilia/1900425394_AG_Sciacca_complesso_baglio/download (13).pdf,,,,,,no_matching_iccd_code
sicilia/1900426565_TP_Pantelleria_complesso_dammuso,download (13).pdf,0.original_foto_schede/sicilia/1900426565_TP_Pantelleria_complesso_dammuso/download (13).pdf,1900426565,40319,e44c03ea-ea29-4207-8e0b-be7fd9b7185f,e44c03ea-ea29-4207-8e0b-be7fd9b7185f.png,1.output_png_schede/e44c03ea-ea29-4207-8e0b-be7fd9b7185f.png,exported
sicilia/1900426569_TP_Pantelleria_edificio singolo_dammuso,download (13).pdf,0.original_foto_schede/sicilia/1900426569_TP_Pantelleria_edificio singolo_dammuso/download (13).pdf,1900426569,41425,e1f4f488-64e5-4358-9446-e04cc79da6fd,e1f4f488-64e5-4358-9446-e04cc79da6fd.png,1.output_png_schede/e1f4f488-64e5-4358-9446-e04cc79da6fd.png,exported
sicilia/1900426741_TP_Calatafimi_complesso_baglio,download (14).pdf,0.original_foto_schede/sicilia/1900426741_TP_Calatafimi_complesso_baglio/download (14).pdf,1900426741,43847,d6b9a4ee-0565-4c63-8a98-c5c18549081e,d6b9a4ee-0565-4c63-8a98-c5c18549081e.png,1.output_png_schede/d6b9a4ee-0565-4c63-8a98-c5c18549081e.png,exported
sicilia/1900426766_TP_Pantelleria_complesso_dammuso,download (13).pdf,0.original_foto_schede/sicilia/1900426766_TP_Pantelleria_complesso_dammuso/download (13).pdf,1900426766,43837,a8bdca43-3ddb-418f-ac34-42df35b9dce0,a8bdca43-3ddb-418f-ac34-42df35b9dce0.png,1.output_png_schede/a8bdca43-3ddb-418f-ac34-42df35b9dce0.png,exported
sicilia/1900426819_TP_Pantelleria_complesso_dammuso,download (13).pdf,0.original_foto_schede/sicilia/1900426819_TP_Pantelleria_complesso_dammuso/download (13).pdf,1900426819,43799,f2c71519-c76d-42fb-8afe-f7544f45f184,f2c71519-c76d-42fb-8afe-f7544f45f184.png,1.output_png_schede/f2c71519-c76d-42fb-8afe-f7544f45f184.png,exported
sicilia/1900426821_TP_Pantelleria_complesso_dammuso,download (13).pdf,0.original_foto_schede/sicilia/1900426821_TP_Pantelleria_complesso_dammuso/download (13).pdf,1900426821,41135,512b1d2b-aad7-483a-bb70-f5bbfcfaf562,512b1d2b-aad7-483a-bb70-f5bbfcfaf562.png,1.output_png_schede/512b1d2b-aad7-483a-bb70-f5bbfcfaf562.png,exported
sicilia/1900426823_TP_Pantelleria_complesso_dammuso,download (13).pdf,0.original_foto_schede/sicilia/1900426823_TP_Pantelleria_complesso_dammuso/download (13).pdf,1900426823,31109,4d188656-e812-45f4-9dbb-ee6e84ae578e,4d188656-e812-45f4-9dbb-ee6e84ae578e.png,1.output_png_schede/4d188656-e812-45f4-9dbb-ee6e84ae578e.png,exported
sicilia/1900427199_CT_Castiglione di Sicilia_edificio con annessi_villa,download (13).pdf,0.original_foto_schede/sicilia/1900427199_CT_Castiglione di Sicilia_edificio con annessi_villa/download (13).pdf,1900427199,42114,820e69ba-797f-464c-b9e2-aa330dbeb484,820e69ba-797f-464c-b9e2-aa330dbeb484.png,1.output_png_schede/820e69ba-797f-464c-b9e2-aa330dbeb484.png,exported
"toscana/Peccioli (PI)_ Strada com.le di Bandonica, PODERE S. SEBASTIANO_casa con bigattiera",download.pdf,"0.original_foto_schede/toscana/Peccioli (PI)_ Strada com.le di Bandonica, PODERE S. SEBASTIANO_casa con bigattiera/download.pdf",0901450312,21000,7de09aba-259e-4316-ab22-020466fb19bc,7de09aba-259e-4316-ab22-020466fb19bc.png,1.output_png_schede/7de09aba-259e-4316-ab22-020466fb19bc.png,exported
"toscana/Peccioli (PI)_ Via Comunale di Celli, PODERE LA CASCINA_EDIFICIO CON ANNESSI_casolare",download.pdf,"0.original_foto_schede/toscana/Peccioli (PI)_ Via Comunale di Celli, PODERE LA CASCINA_EDIFICIO CON ANNESSI_casolare/download.pdf",0901450317,21073,cd2d4972-2c32-41a2-915f-a1a86a08098c,cd2d4972-2c32-41a2-915f-a1a86a08098c.png,1.output_png_schede/cd2d4972-2c32-41a2-915f-a1a86a08098c.png,exported
"toscana/Rignano sull_Arno (FI)_ Via del Focardo 52_ED.SING., casolare_0901454312",download.pdf,"0.original_foto_schede/toscana/Rignano sull_Arno (FI)_ Via del Focardo 52_ED.SING., casolare_0901454312/download.pdf",0901454312,17737,513e6733-c155-4095-8b9a-33c4bf130945,513e6733-c155-4095-8b9a-33c4bf130945.png,1.output_png_schede/513e6733-c155-4095-8b9a-33c4bf130945.png,exported
toscana/Scansano (GR)_ SP 159_EDIFICIO SINGOLO_casone,download.pdf,0.original_foto_schede/toscana/Scansano (GR)_ SP 159_EDIFICIO SINGOLO_casone/download.pdf,0901454090,26201,c96030c4-e718-418b-a8dc-7cf0f6c287e0,c96030c4-e718-418b-a8dc-7cf0f6c287e0.png,1.output_png_schede/c96030c4-e718-418b-a8dc-7cf0f6c287e0.png,exported
toscana/Suvereto (LI)_ Localita_ Poggetto Masino_EDIFICIO SINGOLO_cascina,download.pdf,0.original_foto_schede/toscana/Suvereto (LI)_ Localita_ Poggetto Masino_EDIFICIO SINGOLO_cascina/download.pdf,0901469006,41122,e231ac22-fd08-453f-bef3-c1b51345eb42,e231ac22-fd08-453f-bef3-c1b51345eb42.png,1.output_png_schede/e231ac22-fd08-453f-bef3-c1b51345eb42.png,exported
toscana/Torrita di Siena (SI)_ Via di Ciliano 13_EDIFICIO SINGOLO_casolare,download.pdf,0.original_foto_schede/toscana/Torrita di Siena (SI)_ Via di Ciliano 13_EDIFICIO SINGOLO_casolare/download.pdf,0901454185,427,c49af15e-50a8-410a-80b5-5c54d3e3f08e,c49af15e-50a8-410a-80b5-5c54d3e3f08e.png,1.output_png_schede/c49af15e-50a8-410a-80b5-5c54d3e3f08e.png,exported
toscana/Vaglia (FI)_ Via Bolognese 2921_EDIFICIO CON ANNESSI_casa a padiglione,download.pdf,0.original_foto_schede/toscana/Vaglia (FI)_ Via Bolognese 2921_EDIFICIO CON ANNESSI_casa a padiglione/download.pdf,0901454229,32071,a4252e0d-561f-483b-bdf5-f24967ecb155,a4252e0d-561f-483b-bdf5-f24967ecb155.png,1.output_png_schede/a4252e0d-561f-483b-bdf5-f24967ecb155.png,exported
trentino/curon01,curon01.pdf,0.original_foto_schede/trentino/curon01/curon01.pdf,0400619552,3718,554bb976-4488-4064-b6fa-b5f91c1063d9,554bb976-4488-4064-b6fa-b5f91c1063d9.png,1.output_png_schede/554bb976-4488-4064-b6fa-b5f91c1063d9.png,exported
