folder,pdf_name,pdf_path,iccd_code,csv_index,id_scheda_originale,pdf_png_name,pdf_png_path,pdf_status,image_candidates,selected_image_name,selected_image_path,random_image_name,random_image_path,image_status,status
liguria/0700381678_SP_Sarzana_COM_cascina,SP_Sarzana_COM_cascina.pdf,0.original_foto_schede/liguria/0700381678_SP_Sarzana_COM_cascina/SP_Sarzana_COM_cascina.pdf,0700381678,7685,8a0d0529-f3ac-4495-ab2a-e9eb6e0b5982,8a0d0529-f3ac-4495-ab2a-e9eb6e0b5982.png,1.output_png_schede/8a0d0529-f3ac-4495-ab2a-e9eb6e0b5982.png,already_exists,10,SP_SARZANA_ViaNavonella_fienile_prospetto_sud_ovest.JPG,0.original_foto_schede/liguria/0700381678_SP_Sarzana_COM_cascina/SP_SARZANA_ViaNavonella_fienile_prospetto_sud_ovest.JPG,8a0d0529-f3ac-4495-ab2a-e9eb6e0b5982.jpg,2.output_images_random/8a0d0529-f3ac-4495-ab2a-e9eb6e0b5982.jpg,copied,matched
liguria/0700381806_IM_Isolabona_EDSING_casolare,0700381806_IM_Isolabona_EDSING_Casolare.pdf,0.original_foto_schede/liguria/0700381806_IM_Isolabona_EDSING_casolare/0700381806_IM_Isolabona_EDSING_Casolare.pdf,0700381806,22035,b2d9a9c5-af2d-4acd-9e70-b75d9e464d70,b2d9a9c5-af2d-4acd-9e70-b75d9e464d70.png,1.output_png_schede/b2d9a9c5-af2d-4acd-9e70-b75d9e464d70.png,already_exists,6,IM_Isolabona_casolare_nuova costruzione.jpg,0.original_foto_schede/liguria/0700381806_IM_Isolabona_EDSING_casolare/IM_Isolabona_casolare_nuova costruzione.jpg,b2d9a9c5-af2d-4acd-9e70-b75d9e464d70.jpg,2.output_images_random/b2d9a9c5-af2d-4acd-9e70-b75d9e464d70.jpg,copied,matched
liguria/0700381868_SV_Millesimo_EEANN_casa corte aperta,0700381868_SV_Millesimo_EEANN_casa corte aperta.pdf,0.original_foto_schede/liguria/0700381868_SV_Millesimo_EEANN_casa corte aperta/0700381868_SV_Millesimo_EEANN_casa corte aperta.pdf,0700381868,7783,3f656c53-1874-4b96-94e3-1a0087558b26,3f656c53-1874-4b96-94e3-1a0087558b26.png,1.output_png_schede/3f656c53-1874-4b96-94e3-1a0087558b26.png,already_exists,8,SV_MILLESIMO_Spaletto_SP28bis_contesto.JPG,0.original_foto_schede/liguria/0700381868_SV_Millesimo_EEANN_casa corte aperta/SV_MILLESIMO_Spaletto_SP28bis_contesto.JPG,3f656c53-1874-4b96-94e3-1a0087558b26.jpg,2.output_images_random/3f656c53-1874-4b96-94e3-1a0087558b26.jpg,copied,matched
liguria/0700381913_SV_Cengio_EDANN_cascina_Cascina Pastone,SV_Cengio_EDIFICIO CON ANNESSI_cascina Pastone.pdf,0.original_foto_schede/liguria/0700381913_SV_Cengio_EDANN_cascina_Cascina Pastone/SV_Cengio_EDIFICIO CON ANNESSI_cascina Pastone.pdf,0700381913,7851,9407211d-9d84-4ca9-8ba4-ac7336d1d0aa,9407211d-9d84-4ca9-8ba4-ac7336d1d0aa.png,1.output_png_schede/9407211d-9d84-4ca9-8ba4-ac7336d1d0aa.png,already_exists,13,SV_CENGIO_Pastoni_CascinaPastone_co.JPG,0.original_foto_schede/liguria/0700381913_SV_Cengio_EDANN_cascina_Cascina Pastone/SV_CENGIO_Pastoni_CascinaPastone_co.JPG,9407211d-9d84-4ca9-8ba4-ac7336d1d0aa.jpg,2.output_images_random/9407211d-9d84-4ca9-8ba4-ac7336d1d0aa.jpg,copied,matched
liguria/0700382006_SP_Arcola_EDSING_cascina,SP_Arcola_EDSING_cascina.pdf,0.original_foto_schede/liguria/0700382006_SP_Arcola_EDSING_cascina/SP_Arcola_EDSING_cascina.pdf,0700382006,7969,d3834e71-5e39-4c08-bfb6-44ee43226f1e,d3834e71-5e39-4c08-bfb6-44ee43226f1e.png,1.output_png_schede/d3834e71-5e39-4c08-bfb6-44ee43226f1e.png,already_exists,6,SP_ARCOLA_Serra_ViaSerradiBaccano_ortofoto.png,0.original_foto_schede/liguria/0700382006_SP_Arcola_EDSING_cascina/SP_ARCOLA_Serra_ViaSerradiBaccano_ortofoto.png,d3834e71-5e39-4c08-bfb6-44ee43226f1e.png,2.output_images_random/d3834e71-5e39-4c08-bfb6-44ee43226f1e.png,copied,matched
liguria/0700410910_GE_Savignone_EDANN_pendio,GE_Savignone_EDANN_casa pendio.pdf,0.original_foto_schede/liguria/0700410910_GE_Savignone_EDANN_pendio/GE_Savignone_EDANN_casa pendio.pdf,0700410910,9329,90254abc-0bb8-4806-baca-98d7656d3256,90254abc-0bb8-4806-baca-98d7656d3256.png,1.output_png_schede/90254abc-0bb8-4806-baca-98d7656d3256.png,already_exists,7,GE_SAVIGNONE_Pochettini_contesto.JPG,0.original_foto_schede/liguria/0700410910_GE_Savignone_EDANN_pendio/GE_SAVIGNONE_Pochettini_contesto.JPG,90254abc-0bb8-4806-baca-98d7656d3256.jpg,2.output_images_random/90254abc-0bb8-4806-baca-98d7656d3256.jpg,copied,matched
liguria/0700410925_GE_Crocefieschi_EDANN_casa Braia,GE_Crocefieschi_EDANN_casa Braia.pdf,0.original_foto_schede/liguria/0700410925_GE_Crocefieschi_EDANN_casa Braia/GE_Crocefieschi_EDANN_casa Braia.pdf,0700410925,9215,cefe5135-e517-48ba-a66c-794425ab51ad,cefe5135-e517-48ba-a66c-794425ab51ad.png,1.output_png_schede/cefe5135-e517-48ba-a66c-794425ab51ad.png,already_exists,6,GE_CROCEFIESCHI_prospetto nord-ovest.JPG,0.original_foto_schede/liguria/0700410925_GE_Crocefieschi_EDANN_casa Braia/GE_CROCEFIESCHI_prospetto nord-ovest.JPG,cefe5135-e517-48ba-a66c-794425ab51ad.jpg,2.output_images_random/cefe5135-e517-48ba-a66c-794425ab51ad.jpg,copied,matched
liguria/0700410943_IM_Cosio d_Arroscia_COM_edifici affiancati,Eidotipo.pdf,0.original_foto_schede/liguria/0700410943_IM_Cosio d_Arroscia_COM_edifici affiancati/Eidotipo.pdf,,,,,,,0,,,,,,no_matching_iccd_code
liguria/0700410958_SP_Varese Ligure_EDANN_cascina,SP_Varese Ligure_EDANN_cascina.pdf,0.original_foto_schede/liguria/0700410958_SP_Varese Ligure_EDANN_cascina/SP_Varese Ligure_EDANN_cascina.pdf,0700410958,9403,4a0763cd-c361-4ec1-8a5c-6453c79da8db,4a0763cd-c361-4ec1-8a5c-6453c79da8db.png,1.output_png_schede/4a0763cd-c361-4ec1-8a5c-6453c79da8db.png,already_exists,5,SP_Varese_Ligure_Cascina_SP566_contesto.jpg,0.original_foto_schede/liguria/0700410958_SP_Varese Ligure_EDANN_cascina/SP_Varese_Ligure_Cascina_SP566_contesto.jpg,4a0763cd-c361-4ec1-8a5c-6453c79da8db.jpg,2.output_images_random/4a0763cd-c361-4ec1-8a5c-6453c79da8db.jpg,copied,matched
liguria/0700410991_GE_Valbrevenna_EDSING_pendio,0700410991_GE_Valbrevenna_EDSING_casa di pendio.pdf,0.original_foto_schede/liguria/0700410991_GE_Valbrevenna_EDSING_pendio/0700410991_GE_Valbrevenna_EDSING_casa di pendio.pdf,0700410991,9464,9b8460ac-1a5f-4e81-a568-bd8607aca73b,9b8460ac-1a5f-4e81-a568-bd8607aca73b.png,1.output_png_schede/9b8460ac-1a5f-4e81-a568-bd8607aca73b.png,already_exists,8,GE_VALBREVENNA_foto di contesto.JPG,0.original_foto_schede/liguria/0700410991_GE_Valbrevenna_EDSING_pendio/GE_VALBREVENNA_foto di contesto.JPG,9b8460ac-1a5f-4e81-a568-bd8607aca73b.jpg,2.output_images_random/9b8460ac-1a5f-4e81-a568-bd8607aca73b.jpg,copied,matched
